Model,Accuracy,Precision,Recall,F1-score,Macro-F1,Balanced Accuracy,Recall Low/Moderate (0),Recall High (1),ROC-AUC
Random Forest,0.8476658476658476,0.8743455497382199,0.9597701149425287,0.915068493150685,0.5884866275277234,0.5731053964543152,0.1864406779661017,0.9597701149425287,0.7082846288720047
Random Forest Balanced,0.8452088452088452,0.8720626631853786,0.9597701149425287,0.9138166894664843,0.5773902724440856,0.5646308201831287,0.1694915254237288,0.9597701149425287,0.7164913306058834
XGBoost,0.8574938574938575,0.8698979591836735,0.9798850574712644,0.9216216216216216,0.568918918918919,0.5577391389051237,0.13559322033898305,0.9798850574712644,0.7393580751996883
Logistic Regression Balanced,0.6511056511056511,0.9153225806451613,0.6522988505747126,0.761744966442953,0.5551844098269811,0.648183323592441,0.6440677966101694,0.6522988505747126,0.7061659848042081
Logistic Regression,0.8624078624078624,0.865,0.9942528735632183,0.9251336898395722,0.5383244206773619,0.5394993181375414,0.0847457627118644,0.9942528735632183,0.7070913695694525
Support Vector Machine,0.85995085995086,0.8592592592592593,1.0,0.9243027888446215,0.49493827966821236,0.5169491525423728,0.03389830508474576,1.0,0.6821546853691799
Dummy Most Frequent,0.855036855036855,0.855036855036855,1.0,0.9218543046357616,0.4609271523178808,0.5,0.0,1.0,0.5
